,image_filename,class_number
0,im_4_0.png,0
1,im_21_0.png,0
2,im_9_0.png,0
3,im_8_0.png,0
4,im_15_0.png,0
5,im_1_0.png,0
6,im_13_0.png,0
7,im_0_0.png,0
8,im_19_0.png,0
9,im_24_0.png,0
10,im_20_0.png,0
11,im_23_0.png,0
12,im_11_0.png,0
13,im_3_0.png,0
14,im_26_0.png,0
15,im_16_0.png,0
16,im_14_0.png,0
17,im_6_0.png,0
18,im_17_0.png,0
19,im_12_0.png,0
20,im_2_0.png,0
21,im_5_0.png,0
22,im_10_0.png,0
23,im_25_0.png,0
24,im_18_0.png,0
25,im_22_0.png,0
26,im_7_0.png,0
27,im_39_1.png,0
28,im_42_1.png,0
29,im_38_1.png,0
30,im_74_1.png,0
31,im_64_1.png,0
32,im_41_1.png,0
33,im_16_1.png,0
34,im_54_1.png,0
35,im_27_1.png,0
36,im_69_1.png,0
37,im_22_1.png,0
38,im_15_1.png,0
39,im_6_1.png,0
40,im_9_1.png,0
41,im_63_1.png,0
42,im_66_1.png,0
43,im_11_1.png,0
44,im_10_1.png,0
45,im_51_1.png,0
46,im_13_1.png,0
47,im_5_1.png,0
48,im_29_1.png,0
49,im_73_1.png,0
50,im_60_1.png,0
51,im_46_1.png,0
52,im_75_1.png,0
53,im_8_1.png,0
54,im_17_1.png,0
55,im_23_1.png,0
56,im_20_1.png,0
57,im_28_1.png,0
58,im_31_1.png,0
59,im_59_1.png,0
60,im_67_1.png,0
61,im_72_1.png,0
62,im_43_1.png,0
63,im_18_1.png,0
64,im_58_1.png,0
65,im_50_1.png,0
66,im_76_1.png,0
67,im_0_1.png,0
68,im_68_1.png,0
69,im_48_1.png,0
70,im_45_1.png,0
71,im_78_1.png,0
72,im_32_1.png,0
73,im_37_1.png,0
74,im_34_1.png,0
75,im_3_1.png,0
76,im_1_1.png,0
77,im_35_1.png,0
78,im_65_1.png,0
79,im_61_1.png,0
80,im_25_1.png,0
81,im_36_1.png,0
82,im_30_1.png,0
83,im_49_1.png,0
84,im_53_1.png,0
85,im_21_1.png,0
86,im_44_1.png,0
87,im_56_1.png,0
88,im_77_1.png,0
89,im_24_1.png,0
90,im_47_1.png,0
91,im_79_1.png,0
92,im_62_1.png,0
93,im_19_1.png,0
94,im_4_1.png,0
95,im_2_1.png,0
96,im_52_1.png,0
97,im_71_1.png,0
98,im_12_1.png,0
99,im_70_1.png,0
100,im_40_1.png,0
101,im_14_1.png,0
102,im_7_1.png,0
